2017-03-29_20:44:44.369 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MBP-de-Benoit with PID 28409 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_20:44:44.371 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_20:45:22.808 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 38.737 seconds (JVM running for 42.213)
2017-03-29_20:57:39.715 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MacBook-Pro-de-Benoit.local with PID 28507 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_20:57:39.717 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_20:57:50.887 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 11.72 seconds (JVM running for 16.176)
2017-03-29_21:06:23.744 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MBP-de-Benoit with PID 28584 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_21:06:23.749 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_21:06:37.747 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 44.588 seconds (JVM running for 48.127)
2017-03-29_21:08:26.895 [main] INFO  com.micropole.mpeople.MainLauncher - Starting MainLauncher on MBP-de-Benoit with PID 28610 (/Users/lfranceschini/IdeaProjects/MPeople/target/classes started by lfranceschini in /Users/lfranceschini/IdeaProjects/MPeople)
2017-03-29_21:08:26.896 [main] INFO  com.micropole.mpeople.MainLauncher - No active profile set, falling back to default profiles: default
2017-03-29_21:08:41.656 [main] INFO  com.micropole.mpeople.MainLauncher - Started MainLauncher in 15.181 seconds (JVM running for 19.642)
